run:
The Start time is: 02.11.2017 - 00:09:58 and  229ms
### Start ###
Eingabe Plaintext: 	 {p1 =  9, p2 = 20}
Ciphertext: 		 {p1 = 25, p2 = 11}

Schlüssel # 56 gefunden: {a11 =  3, a12 =  9, a21 =  3, a22 = 20}, Determinante:   33 =   7 (mod 26), Invertierbar:  true
Schlüssel # 57 gefunden: {a11 =  3, a12 =  9, a21 =  5, a22 = 10}, Determinante:  -15 =  11 (mod 26), Invertierbar:  true
Schlüssel # 58 gefunden: {a11 =  3, a12 =  9, a21 =  5, a22 = 23}, Determinante:   24 =  24 (mod 26), Invertierbar: false
Schlüssel # 59 gefunden: {a11 =  3, a12 =  9, a21 =  7, a22 =  0}, Determinante:  -63 =  15 (mod 26), Invertierbar:  true
Schlüssel # 60 gefunden: {a11 =  3, a12 =  9, a21 =  7, a22 = 13}, Determinante:  -24 =   2 (mod 26), Invertierbar: false
Schlüssel # 61 gefunden: {a11 =  3, a12 =  9, a21 =  9, a22 =  3}, Determinante:  -72 =   6 (mod 26), Invertierbar: false
Schlüssel # 62 gefunden: {a11 =  3, a12 =  9, a21 =  9, a22 = 16}, Determinante:  -33 =  19 (mod 26), Invertierbar:  true
Schlüssel # 63 gefunden: {a11 =  3, a12 =  9, a21 = 11, a22 =  6}, Determinante:  -81 =  23 (mod 26), Invertierbar:  true
Schlüssel # 64 gefunden: {a11 =  3, a12 =  9, a21 = 11, a22 = 19}, Determinante:  -42 =  10 (mod 26), Invertierbar: false
Schlüssel # 65 gefunden: {a11 =  3, a12 =  9, a21 = 13, a22 =  9}, Determinante:  -90 =  14 (mod 26), Invertierbar: false
Schlüssel # 66 gefunden: {a11 =  3, a12 =  9, a21 = 13, a22 = 22}, Determinante:  -51 =   1 (mod 26), Invertierbar:  true
Schlüssel # 67 gefunden: {a11 =  3, a12 =  9, a21 = 15, a22 = 12}, Determinante:  -99 =   5 (mod 26), Invertierbar:  true
Schlüssel # 68 gefunden: {a11 =  3, a12 =  9, a21 = 15, a22 = 25}, Determinante:  -60 =  18 (mod 26), Invertierbar: false
Schlüssel # 69 gefunden: {a11 =  3, a12 =  9, a21 = 17, a22 =  2}, Determinante: -147 =   9 (mod 26), Invertierbar:  true
Schlüssel # 70 gefunden: {a11 =  3, a12 =  9, a21 = 17, a22 = 15}, Determinante: -108 =  22 (mod 26), Invertierbar: false
Schlüssel # 71 gefunden: {a11 =  3, a12 =  9, a21 = 19, a22 =  5}, Determinante: -156 =   0 (mod 26), Invertierbar: false
Schlüssel # 72 gefunden: {a11 =  3, a12 =  9, a21 = 19, a22 = 18}, Determinante: -117 =  13 (mod 26), Invertierbar: false
Schlüssel # 73 gefunden: {a11 =  3, a12 =  9, a21 = 21, a22 =  8}, Determinante: -165 =  17 (mod 26), Invertierbar:  true
Schlüssel # 74 gefunden: {a11 =  3, a12 =  9, a21 = 21, a22 = 21}, Determinante: -126 =   4 (mod 26), Invertierbar: false
Schlüssel # 75 gefunden: {a11 =  3, a12 =  9, a21 = 23, a22 = 11}, Determinante: -174 =   8 (mod 26), Invertierbar: false
Schlüssel # 76 gefunden: {a11 =  3, a12 =  9, a21 = 23, a22 = 24}, Determinante: -135 =  21 (mod 26), Invertierbar:  true
Schlüssel # 77 gefunden: {a11 =  3, a12 =  9, a21 = 25, a22 =  1}, Determinante: -222 =  12 (mod 26), Invertierbar: false
Schlüssel # 78 gefunden: {a11 =  3, a12 =  9, a21 = 25, a22 = 14}, Determinante: -183 =  25 (mod 26), Invertierbar:  true
Schlüssel # 79 gefunden: {a11 =  3, a12 = 22, a21 =  1, a22 =  4}, Determinante:  -10 =  16 (mod 26), Invertierbar: false
